tileid,parenttile_id,resourceinstance_id,Spatial Coordinates Geometry,sortorder,provisionaledits,nodegroup_id
c7544cb4-132b-47cc-a23d-1a5964bda531,None,0fb3ffc0-395f-42e9-bece-bba42a1c530b,GEOMETRYCOLLECTION (POINT (85.3080720527239 27.70706437068668)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
012b262f-f3bc-4fd0-a6d0-a120f45f7e85,None,109ab54a-e9a3-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.33150624199737 27.67030849007879)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
4c4e9df9-9c11-4123-8507-89a9785158e8,None,10afc076-5274-4ad9-9023-94b8c25893aa,GEOMETRYCOLLECTION (POINT (85.30229700771883 27.69255935668201)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
fa5dc723-99fc-47aa-863f-7286e45f972d,None,1165bb2e-eb1e-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32288087275771 27.66793790337534)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
d5f576cb-1aea-4b0b-956f-a3f6c7ac8c46,None,1176053e-eb54-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32722711514384 27.67408158020994)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
6e506d8f-46be-405a-84ba-706af7df4831,None,1279d314-220a-4acb-9622-67d050fc75db,GEOMETRYCOLLECTION (POINT (81.72336935009446 28.86210056452072)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
f7751660-70b6-4d46-b012-4344a0b58bcf,None,12c555ec-ea9c-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.3160237428682 27.67688422003324)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
79f4c61e-5250-41ad-af96-57d87186a224,None,12d828f2-e4f7-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32081886372976 27.67355066828634)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
3d34f34b-4267-4eb6-8e61-1cdd0853608f,None,12e25456-4bce-11ea-91df-0242ac130006,GEOMETRYCOLLECTION (POINT (85.31494264192435 27.67793178394204)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
4556a085-32bb-4685-b731-22361d1ec9f9,None,138e0452-8e6c-4b68-8410-b5263da353a8,GEOMETRYCOLLECTION (POINT (81.60456440930113 28.57651396612245)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
1eec88c6-009d-48f0-9cb5-5e0952ea91bb,None,1394f154-e70c-4fba-94b6-ef62156047ab,,0,,d61d682c-b0fe-11e9-8b01-0242ac120006
