tileid,parenttile_id,resourceinstance_id,Object width,Object circumference,Object height,Object depth,sortorder,provisionaledits,nodegroup_id
f6021c28-a177-4567-a8b8-b777f8bcfc5c,54d9f1ae-8a00-4b42-a948-ec34ab8e4bdb,01de2008-1b9b-41d9-821a-b1eb6693db80,14.0,0.0,20.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
6d87f712-debb-4acf-a291-8dc06edd687d,e454dc41-e1ba-4d1e-9669-e24f4931c376,01de2008-1b9b-41d9-821a-b1eb6693db80,12.0,0.0,17.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
d804970a-5a32-4e83-893a-fa9155a3c0a5,8d9cbb5a-ba83-456e-bc0d-c8e349969f23,01de2008-1b9b-41d9-821a-b1eb6693db80,130.0,0.0,140.0,130.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
080e6954-d255-411a-8833-eb196facc06e,d4e9ec7a-a7ce-49e1-aee8-de3f1b414b26,01de2008-1b9b-41d9-821a-b1eb6693db80,10.0,0.0,16.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
9ef6e93d-3638-47be-83df-ba1af08e0596,63f5e0d5-52d4-4ea2-86f3-5d07bc7cda57,01de2008-1b9b-41d9-821a-b1eb6693db80,17.0,0.0,22.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
480a65ab-1392-477a-ae2d-67a71338d0e3,1a695e13-2f19-485c-a8b6-fb63ff80a0bd,01de2008-1b9b-41d9-821a-b1eb6693db80,14.0,0.0,18.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
05a06d8f-6a87-40cc-a648-9a3464e32867,517508dd-e59a-442f-ab35-e057f76f4f11,01de2008-1b9b-41d9-821a-b1eb6693db80,25.0,0.0,37.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
49e74acd-f260-474b-a31b-a1b962437437,1c3c4654-c65f-454c-8ceb-4b232bd68209,01de2008-1b9b-41d9-821a-b1eb6693db80,13.0,0.0,20.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
d63762b0-edba-41bd-8cfd-9dc7c4ba713a,1a4c3e15-d3d2-49ec-bd0b-4a995310ae42,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,50.0,0,35,0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
c79fe633-219d-4da3-9824-17026f9454c8,0d81c03a-0c83-4ae6-a615-ed4c23b467ff,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,36.0,0.0,53.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
1925db01-72de-4f0d-a3b5-4f65fdd87eb8,41b4ba8c-d80d-4da4-a161-1ee5792a4bd2,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,27.0,0.0,40.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
