tileid,parenttile_id,resourceinstance_id,Thickness of walls,Type of bricks,sortorder,provisionaledits,nodegroup_id
46ba5559-fd35-4991-b34b-dd67e864d949,25c1ec2c-2d43-4060-b345-ef7f554eebaf,1d95833c-6cbe-4f96-be3c-fad253fe5f27,25.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
ce603fa8-cfb4-4855-8c67-a72b44656933,6c7526e8-b82b-448e-8b88-24a76a6900d8,1dd2eee2-de1b-48ee-948f-2b2e337b8188,,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
b0d7c297-a9f2-4d09-875e-304d803c0027,fe60a19d-ad6c-49d3-bc6f-8b4cd610105f,1e2335a0-f62a-11e9-a3c8-0242ac130002,50,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
9e4cc01f-25ea-4b95-ae82-afde35714a88,b4030662-0278-4a92-a76e-fdba47127153,1e4bfd8c-dc8a-11e9-81a8-0242ac140006,35,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
9ed783cd-e9a7-4f07-bd3f-a130391aed7d,d88ba9db-5345-4c6d-a940-2240badf2ea7,1fd94780-2644-42d6-bae5-74e6bdfa2abc,43.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
8a963dcb-e217-404d-9402-5696b5d1ebf5,61db8e35-2ff4-4670-9d61-943d2a8236e1,204170f8-e23a-4811-a8c3-aa77b9a792c6,55.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
6c294419-a8fa-4941-980d-9ea458011f38,30cdbe46-c6e9-416d-8ec5-40dcbc7c6a5d,2070b496-e729-11e9-8bc4-0242ac130002,35,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
b46c68b1-b715-4646-979d-59daefaa27d8,332fd722-7466-4edf-ab31-ee47fad981f4,20787244-8ee5-11ea-bd59-0242ac130005,55,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
3dbd2de3-5cc1-4cf2-827b-a0faf1e75e06,130f7545-ae8e-4c9f-9b37-c6ac540e24fb,20b9cf3e-f33e-11e9-a3c8-0242ac130002,35,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
ae8c9de6-67ec-486e-b152-8ab082c9ca09,c3e6f5de-e42a-447d-8534-7a296aa488ee,20ef6cd9-f40f-4799-8101-a9b7b824d039,55.0,"dāci apā (conical veneer brick),desi apā (modern brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
a514b4ab-60a0-4b44-b609-4af540bd382b,88e9d04d-1231-4199-b5f0-6549897a2f9f,217154c2-e99f-11e9-b125-0242ac130002,5,"mā apā (regular fired brick),dāci apā (conical veneer brick),desi apā (modern brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
2de0e4bf-7a39-40a7-bdd0-23ad2cdbecd4,f2eeeefd-b332-4fd0-b1c8-07a8e077b872,21b56e2d-d3ff-4ce6-94cc-d5b85fb8a31e,55.0,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
d1ef2271-3c4b-4b7f-bb15-d2654bd99b48,1ea9e8b5-c4e4-4fab-811f-3c9b98179ea6,21c324c0-e763-11e9-8bc4-0242ac130002,35,"dāci apā (conical veneer brick),mā apā (regular fired brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
d3bd3c8f-6589-4f91-b17d-f18986d328d0,084d7a30-7dd0-4db1-85c1-ac3d43f65d64,222a5a4a-e1ef-4af0-afc9-bae7bd03d3ce,0.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
8d837a0a-3f07-4039-8411-589f5c0c10ed,7bfa4497-278a-44b8-af8b-42e99ee30fe6,224ae916-e8e2-11e9-8bc4-0242ac130002,40,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
924b32c8-3b77-4a96-9705-b5aad9cec917,f581cd9c-8313-4865-8006-49d7ae0c5643,2284154e-efcf-11e9-8649-0242ac130002,45,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
e343f587-bc65-4f64-9390-d8dc52569bf5,52b552e5-73aa-4c11-848c-07b5a3f9a035,2298db0e-2225-11ea-b9b1-0242ac130002,35.0,"desi apā (modern brick),mā apā (regular fired brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
6275cdb4-918c-47ab-b1bf-ddf97c877c4b,0cf57461-78b1-4c1b-b807-717b2f5b62fb,229dc17a-452d-4986-bf4a-4e56326009f8,55.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
9f3fce78-d5b0-45ed-9596-4c21e825433f,83eca123-9d4e-4401-9b70-c29cb9312f8b,2306e890-198f-11ea-b74e-0242ac130002,35.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
029a47a7-dbba-41c5-901d-5ef69f791530,858db5ec-620b-4062-af43-72d554a9c819,234a903c-e5e0-11e9-b125-0242ac130002,84,"desi apā (modern brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
55396a05-6ad3-47cd-9c6d-63b9f35d50de,98f3bc7c-7dcc-43b7-8db5-5b5a9d0706b5,238d55d1-f5f6-43c4-841f-2fbd871d60f4,28.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
4fa53b42-1d94-49f8-b57b-34adae6b9d65,30ffdc3e-04a5-481c-9180-cb16525e7274,23bdf498-e692-11e9-b125-0242ac130002,45,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
a7c62c4a-580c-4a67-a6d5-a1bd1ed7b012,5d2828ed-a85d-4e91-b64a-3e8429447ba0,23d40c88-efc0-4f8d-bb17-a50f831912f3,50.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
2c178587-9975-4291-a7e1-e323941e279e,8891b165-4bb5-428f-b1be-84167b826bac,23d6e0b6-7f2d-44db-a22e-913a500a756a,57.0,desi apā (modern brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
cbc263ff-170c-4620-822f-5c5771f69b59,26e47218-11d5-4fbb-b2c5-24d6e23c4ef1,244754e0-fa2e-11e9-8649-0242ac130002,50,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
89e5c026-7890-497f-b31b-b1626f6107eb,ddcd5348-472b-4c6a-be99-f790a73ed593,24779526-7b25-4512-ac56-5d503d43020a,67.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
a49c8b8a-1ff3-461f-971e-78e6df35d73a,afd0233b-5076-49db-8301-65c5077a2659,24afe176-f66a-11e9-a3c8-0242ac130002,160,"stone,mā apā (regular fired brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
211b8649-df06-44b0-a4a1-95d944e0cc89,b8814b87-7bb4-4f29-aa07-62f4e01ca706,2548d9e2-ea78-11e9-b125-0242ac130002,35,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
56c6634a-02b0-4622-a4a5-acb5162ee5d7,8f26d46c-888b-4bf5-9316-f49c7564997e,254b0d1c-e68a-11e9-8bc4-0242ac130002,40,desi apā (modern brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
c1dc37af-10c5-4c60-ae1a-85b1f1cd01d4,622237d6-5023-4cb9-89da-0e7c7bc653b3,256339d6-e9d3-11e9-8bc4-0242ac130002,95,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
aa6a4f8c-81da-4a6f-8a1d-1f6af83a1005,3a3afb5e-860a-4b32-9ce1-961d054e1519,25c65422-6b9b-11ea-8083-0242ac130006,60.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
