tileid,parenttile_id,resourceinstance_id,Identification Number,Identifier Type,sortorder,provisionaledits,nodegroup_id
b81a13a1-aa45-4795-8fb6-f169aaea62e6,None,143b3eaf-9561-4dbe-8f57-5b84756b8865,KAT1050,,0,,28294108-9323-11e9-bf23-0242ac120006
855dc550-a00f-415b-a433-fe5f10d6a92b,None,147f9da8-5a54-438d-b51e-1d473f23b374,BKT0400,,0,,28294108-9323-11e9-bf23-0242ac120006
a6ba41c3-af65-4273-b68e-3c5bea0a9273,None,14b65b9e-1869-4c2a-b0d4-d013efe48da0,LAL4085,,0,,28294108-9323-11e9-bf23-0242ac120006
e4fba8bc-7fe8-40b6-98fb-211bf97f2dad,None,14cbeef4-f646-11e9-a3c8-0242ac130002,LAL0070,,0,,28294108-9323-11e9-bf23-0242ac120006
390335a7-e11d-4def-b880-6e4032af7a55,None,15217304-e6a8-11e9-b125-0242ac130002,LAL1381,,0,,28294108-9323-11e9-bf23-0242ac120006
0d1c46d2-9169-4940-a15f-7497e78dd583,None,154297b7-c1ca-4eca-813e-774c28a7f805,BAL0004,,0,,28294108-9323-11e9-bf23-0242ac120006
68330dd2-6533-4486-a9f0-0cb32ae50c25,None,15613d2a-e91b-11e9-b125-0242ac130002,LAL1741,,0,,28294108-9323-11e9-bf23-0242ac120006
9c470703-5a62-4c9a-9a31-76bc9c9c2f4b,None,15a0ed8d-f812-482f-98fc-a61b6704b12f,LAL0992,,0,,28294108-9323-11e9-bf23-0242ac120006
664bf423-f7b9-45e2-b343-3749024c2ecd,None,15acbf64-e9a4-11e9-b125-0242ac130002,LAL0172,,0,,28294108-9323-11e9-bf23-0242ac120006
3119f06c-eae3-497b-83e4-b6e9217f24be,None,15d6cfa0-0cb8-4616-8eed-9219ddbb76e3,LAL4043,,0,,28294108-9323-11e9-bf23-0242ac120006
45e433b4-8191-4f36-961b-a6722d355ed2,None,160dcc4f-6d81-421d-9eda-0fb8d248513c,LAL0993,,0,,28294108-9323-11e9-bf23-0242ac120006
ffb19a31-a2b7-4ea8-b490-c60416780ca2,None,16f8b0dc-e9b1-11e9-8bc4-0242ac130002,LAL1300,,0,,28294108-9323-11e9-bf23-0242ac120006
4be75665-6cb6-471b-b4ae-ae869c09bb7a,None,170a68d0-e68d-11e9-b125-0242ac130002,LAL2750,,0,,28294108-9323-11e9-bf23-0242ac120006
0712af6b-d6f9-43cd-8420-81843939d90e,None,1724e57b-b911-48c1-ab87-68c43a852a64,LAL4047,,0,,28294108-9323-11e9-bf23-0242ac120006
