tileid,parenttile_id,resourceinstance_id,historical construction period, historical pakshya,historical enddate,historical tithi,historical date (BCE/CE) ,historical peculiarities, historicalnepalimonth,historicalgate,historicaleventyear,sortorder,provisionaledits,nodegroup_id
bb4db51d-8647-4a4c-95cb-d249b6d6dc87,2cee0988-b94b-4633-a3d0-a376a058561f,06a4360c-e5ec-11e9-b125-0242ac130002,Democratic Period (1990-),,,,2001,,,,VS 2058,0,,ff597fea-a321-11e9-8e7b-0242ac140004
4d84c58a-99fa-4789-a475-372fa3b0b7a6,73185739-9637-4afd-8553-05b0bea7aa12,06a4360c-e5ec-11e9-b125-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,4,1702,,Māgha,,NS 822,0,,ff597fea-a321-11e9-8e7b-0242ac140004
2e7d0fd7-d321-44da-83dd-69978f3ca927,794d33a3-07ad-445a-8158-08ef76b5f5d4,06a4360c-e5ec-11e9-b125-0242ac130002,,,,,0000,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
64529249-ec34-422d-84ed-7c417e2c757d,bd87989c-1694-46d5-a564-5f2d5e4830d7,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Early Shaha Period (17th century-1846),Bright fortnight ,,9,1818 CE,,Māgha,,"<p>NS 938</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
7fde304c-30b6-4fde-baaa-8f0823e08353,5d9b47be-2f12-465d-b547-526550b6366b,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Late Malla period (1482-1768/69),Bright fortnight ,,7,1655 CE,"<p>अहिले शिलापत्रमा मिति लेखिएको भाग देखिँदैन ।</p>
",Āṣāḍha (Asāra),,"<p>NS 775</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
37024e6d-8327-4c2b-8a70-09aa8414909c,8a65a618-bbf2-4d00-a5ce-aca596e4eb36,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Late Malla period (1482-1768/69),,,,1584 CE,,Māgha,,"<p>NS 684</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
414687e4-40da-42a2-8749-6aa0cdb170d4,3ca3d824-fcc9-45a3-9bb8-d7804cee710b,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Late Malla period (1482-1768/69),Bright fortnight ,,3,1564 CE,,Vaiśākha (Vaisākha),,"<p>NS 660</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
34392fca-abcb-4bed-9983-378a27133dee,30264846-9de2-4e95-9a95-75375f5fab62,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Early Shaha Period (17th century-1846),Bright fortnight ,,13,1830 CE,,Kārttika (Kārtika),,"<p>NS 951</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
0bad03f1-ca85-4062-aa8c-73f8716893d1,8fe6693d-14a2-4434-b461-86be88764ed6,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Early Rana Period (1846-1885),Bright fortnight ,,3,1862 CE,,Māgha,,"<p>NS 982</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
c9311ce7-3ecd-404b-884d-8ff9bf51eacf,ea08a797-075d-4340-af71-11dbbcc766f4,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Late Shaha Period (1951-1990),,,,1960 CE,,Māgha,,"<p>VS 2016</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
9e1d0e31-d084-4d13-8513-885ed24d0141,ba5dc800-300b-4916-86d7-66c861e5a3d2,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Late Shaha Period (1951-1990),,,,1988 CE,,Śrāvaṇa (Sāuna),29,"<p>VS 2045</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
